UNITID,OPEID,OPEID6,college_name,city,state,ZIP,type,ST_FIPS,region,LATITUDE,LONGITUDE,admission_rate,SAT_AVG,undergrad_enrollment,percentage_white,percentage_black,percentage_hispanic,percentage_asian,percentage_american_indian,percentage_hawaiian_pacific_islander,percentage_non_resident_alien,avg_income_from_mid_income_bracket,avg_income_from_high_income_bracket,earning_above_threshold,avg_net_price,median_earnings,avg_income_from_low_income_bracket,first_bracket_net_price,second_bracket_net_price(public,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,attendance_cost,instate_tuition,outofstate_tuition,pell_recipients,fed_loan_recipients,compeletion_rate,completion_rate_white,completion_rate_black,completion_rate_hispanic,completion_rate_asian,completion_rate_american_indian,debt_graduated,debt_withdrew,debt_low_income,debt_mid_income,debt_high_income,debt_pell,debt_nopell,population_debt_low_income,population_debt_middle_income,population_debt_high_income,population_debt_pell,population_repayment_cohort,population_recieving_loan,population_recieving_pell,RET_FT4,RET_FTL4
417734,3070900,30709,Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,MO,63703-4507,2,29,4,37.311629,-89.540101,0.8143,NULL,232,0.9224,0.0474,0.0086,0.0086,0,0,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,23699,49000,PrivacySuppressed,23699,NULL,NULL,NULL,NULL,28050,15690,15690,0.6216,0.9009,0.684210526,NULL,NULL,NULL,NULL,NULL,20500,12500,15250,16740,12000,20000,12000,87,64,38,110,163,0.926605505,0.422018349,NULL,0.5
419271,3097600,30976,St Louis Hair Academy,Saint Louis,MO,63107-1737,3,29,4,38.66547,-90.215765,NULL,NULL,14,0,1,0,0,0,0,0,PrivacySuppressed,PrivacySuppressed,0.811,23671,PrivacySuppressed,PrivacySuppressed,23671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8947,0,0.787866667,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,NULL,PrivacySuppressed,PrivacySuppressed,NULL,0.8
419280,3101000,31010,New Dimensions School of Hair Design,Joplin,MO,64801-5017,3,29,4,37.083054,-94.501914,NULL,NULL,63,0.9841,0,0,0,0.0159,0,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9430,PrivacySuppressed,PrivacySuppressed,9604,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6706,0.4824,0.410238462,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,52,0.8,PrivacySuppressed,NULL,0.8571
421771,3110900,31109,House of Heavilin Beauty College-Raymore,Raymore,MO,64083-9195,3,29,4,38.811837,-94.467206,NULL,NULL,35,0.6857,0.3143,0,0,0,0,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,16085,14900,PrivacySuppressed,16139,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6528,0.6667,0.637714493,NULL,NULL,NULL,NULL,NULL,10400,5500,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,46,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,79,PrivacySuppressed,PrivacySuppressed,NULL,0.8
431691,2188100,21881,Northland Career Center,Platte City,MO,64079,1,29,4,39.356472,-94.768905,NULL,NULL,32,0.9063,0.0625,0,0,0,0,0,PrivacySuppressed,PrivacySuppressed,0.298,9397,PrivacySuppressed,PrivacySuppressed,8004,10161,10894,13334,4074,NULL,NULL,NULL,0.4865,0.7297,0.940016,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,PrivacySuppressed,14530,PrivacySuppressed,PrivacySuppressed,14530,9233.5,24,11,14,29,61,PrivacySuppressed,0.618181818,NULL,1
434548,732966,7329,ITT Technical Institute-Arnold,Arnold,MO,63010,3,29,4,38.408913,-90.386702,0.9612,NULL,257,0.8366,0.0856,0.0117,0.0039,0.0039,0,0,40700,44900,PrivacySuppressed,23719,41400,37400,21471,NULL,NULL,NULL,NULL,27228,18048,18048,0.7457,0.7285,0.337189535,0.3289,0.2857,NULL,1,NULL,25827.5,9500,12667,17014,17000,13947,12667,46852,14813,4851,56021,52325,0.800189188,0.814378315,NULL,NULL
436182,2609202,26092,Vatterott College-St Joseph,Saint Joseph,MO,64506,3,29,4,39.80349,-94.815046,NULL,NULL,164,0.7561,0.0854,0.0244,0.0061,0.0122,0.0061,0,46300,47200,0.734,19741,38800,38200,19229,NULL,NULL,NULL,NULL,24732,12070,12070,0.3203,0.3377,0.453507063,NULL,NULL,NULL,NULL,NULL,20894.5,6334,13000,13875,12750,13000,12750,1784,249,73,1945,3046,0.817572892,0.924743893,NULL,0.4222
436191,2599705,25997,Vatterott College-Sunset Hills,Sunset Hills,MO,63127-1516,3,29,4,38.521026,-90.41884,NULL,NULL,514,0.572,0.1907,0.0039,0,0.0058,0.0039,0,PrivacySuppressed,PrivacySuppressed,0.721,18615,34200,32600,18220,NULL,NULL,NULL,NULL,22796,12260,12260,0.3061,0.274,0.694043421,0.7925,0.6437,0.5,0.8,0.75,22001,7571,13000,16471,13000,13511,12303,6625,734,189,7164,8374,0.849956955,0.935801255,1,NULL
440226,3519300,35193,Missouri College of Cosmetology North,Springfield,MO,65804-2000,3,29,4,37.17977,-93.234611,NULL,NULL,78,0.9359,0.0128,0,0.0128,0,0,0,38100,42500,0.689,7665,28300,27500,7761,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9701,0.9925,0.704896721,NULL,NULL,NULL,NULL,NULL,7983.5,3500,6421,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,93,PrivacySuppressed,PrivacySuppressed,109,199,0.912280702,PrivacySuppressed,NULL,0.5926
441487,3579300,35793,Texas County Technical College,Houston,MO,65483,2,29,4,37.300083,-91.963425,NULL,NULL,125,1,0,0,0,0,0,0,PrivacySuppressed,PrivacySuppressed,0.561,21311,27700,PrivacySuppressed,20779,NULL,NULL,NULL,NULL,25935,16044,16044,0.9137,0.7914,0.73844,NULL,NULL,NULL,NULL,NULL,15000,4750.5,10707,PrivacySuppressed,PrivacySuppressed,13118,12875,142,56,17,187,207,0.850299401,0.868263473,NULL,0.7241
